ontology,class,attribute,data_type,relation,object
MaterialOntology,cx:RawMaterial,,,cx:isItemOf,cx:BillOfMaterial
MaterialOntology,cx:RawMaterial,,,cx:participatesIn,cx:Process
MaterialOntology,cx:RawMaterialManufacturer,,,cx:produces,cx:RawMaterial
MaterialOntology,cx:RawMaterialSupplier,,,cx:supplies,cx:RawMaterial
CommonOntology,cx:Recycler,,,cx:recycles,cx:Product
PersonOntology,cx:Relative,,,cx:isRelatedTo,cx:Person
PrognosisOntology,cx:RemainingUsefulLifetime,cx:remainingLifetime,xsd:integer,,
PrognosisOntology,cx:RemainingUsefulLifetime,cx:remainingMileage,xsd:integer,,
BillOfMaterialOntology,cx:ReplacementEvent,cx:replacementDatetime,xsd:dateTime,,
BillOfMaterialOntology,cx:ReplacementEvent,cx:replacementLocation,xsd:string,,
BillOfMaterialOntology,cx:ReplacementEvent,,,cx:hasNewPart,cx:Component
BillOfMaterialOntology,cx:ReplacementEvent,,,cx:hasNewPart,cx:Part
BillOfMaterialOntology,cx:ReplacementEvent,,,cx:hasNewPart,cx:SparePart
BillOfMaterialOntology,cx:ReplacementEvent,,,cx:hasReplacedPart,cx:Component
BillOfMaterialOntology,cx:ReplacementEvent,,,cx:hasReplacedPart,cx:Part
CommonOntology,cx:Reseller,,,cx:sells,cx:Product
CommonOntology,cx:Retailer,,,cx:sells,cx:Product
CommonOntology,cx:Seller,,,cx:sells,cx:Product
PartOntology,cx:SerializedPart,cx:serialNumber,xsd:string,,
PartOntology,cx:SerializedPart,,,cx:isAffectedIn,cx:IncidentReport
PartOntology,cx:SerializedPart,,,cx:isItemOf,cx:Vehicle
PartOntology,cx:SerializedPart,,,cx:isItemOf,cx:ManufacturingBillOfMaterial
CommonOntology,cx:Service,,,cx:hasContact,cx:Contact
BillOfMaterialOntology,cx:ServiceBillOfMaterial,,,cx:hasReplacementEvent,cx:ReplacementEvent
BillOfMaterialOntology,cx:ServiceBillOfMaterial,,,cx:isPartOf,cx:Vehicle
PersonOntology,cx:Sibling,,,cx:isSiblingOf,cx:Person
VehicleUsageOntology,cx:SpeedProfile,,,cx:isPartOf,cx:DrivingPattern
PersonOntology,cx:Spouse,,,cx:isMarriedTo,cx:Person
AddressOntology,cx:StreetAddress,cx:apartmentNumber,xsd:string,,
AddressOntology,cx:StreetAddress,cx:buildingLevel,xsd:string,,
AddressOntology,cx:StreetAddress,cx:buildingName,xsd:string,,
AddressOntology,cx:StreetAddress,cx:buildingNumber,xsd:string,,
AddressOntology,cx:StreetAddress,cx:city,xsd:string,,
AddressOntology,cx:StreetAddress,cx:country,xsd:string,,
AddressOntology,cx:StreetAddress,cx:county,xsd:string,,
AddressOntology,cx:StreetAddress,cx:district,xsd:string,,
AddressOntology,cx:StreetAddress,cx:fullStreetAddress,xsd:string,,
AddressOntology,cx:StreetAddress,cx:houseNumber,xsd:string,,
AddressOntology,cx:StreetAddress,cx:postalCode,xsd:string,,
AddressOntology,cx:StreetAddress,cx:receiverFirstName,xsd:string,,
AddressOntology,cx:StreetAddress,cx:receiverFullName,xsd:string,,
AddressOntology,cx:StreetAddress,cx:receiverLastName,xsd:string,,
AddressOntology,cx:StreetAddress,cx:streetName,xsd:string,,
AddressOntology,cx:StreetAddress,,,cx:isLocatedIn,cx:City
AddressOntology,cx:StreetAddress,,,cx:isLocatedIn,cx:Country
CommonOntology,cx:Supplier,cx:supplierId,xsd:string,,
CommonOntology,cx:Supplier,cx:supplierName,xsd:string,,
CommonOntology,cx:Supplier,,,cx:supplies,cx:Product
CommonOntology,cx:Supplier,,,cx:suppliesTo,cx:Manufacturer
CommonOntology,cx:TechnicalStandard,cx:technicalStandardStandardName,xsd:string,,
CommonOntology,cx:TechnicalStandard,cx:technicalStandardStandardNumber,xsd:string,,
EncodingOntology,cx:Token,cx:tokenOrder,xsd:integer,,
EncodingOntology,cx:Token,cx:tokenRange,xsd:string,,
EncodingOntology,cx:Token,,,cx:encodes,cx:Encoding
EncodingOntology,cx:Token,,,cx:isTranslatedBy,cx:TokenDictionary
EncodingOntology,cx:TokenDictionary,cx:tokenKey,xsd:string,,
EncodingOntology,cx:TokenDictionary,cx:tokenValue,xsd:string,,
EncodingOntology,cx:TokenDictionary,,,cx:translates,cx:Token
VehicleOntology,cx:TransportVehicle,,,cx:transports,cx:Cargo
VehicleOntology,cx:TruckDriver,,,cx:drives,cx:Truck
VehicleOntology,cx:TruckDriver,,,cx:drives,cx:Van
UnitOntology,cx:Unit,cx:unitId,xsd:string,,
UnitOntology,cx:Unit,cx:unitName,xsd:string,,
EncodingOntology,cx:VariableLengthToken,cx:tokeSeparator,xsd:integer,,
EncodingOntology,cx:VariableLengthToken,cx:tokenMaxLength,xsd:integer,,
EncodingOntology,cx:VariableLengthToken,cx:tokenMinLength,xsd:integer,,
VehicleOntology,cx:Vehicle,cx:vehicleConfiguration,xsd:string,,
VehicleOntology,cx:Vehicle,cx:vehicleDescription,xsd:string,,
VehicleOntology,cx:Vehicle,cx:vehicleIdentificationNumber,xsd:string,,
VehicleOntology,cx:Vehicle,cx:vehicleSpecialUsage,xsd:string,,
VehicleOntology,cx:Vehicle,cx:vehicleTypeCode,xsd:string,,
VehicleOntology,cx:Vehicle,,,cx:drivesOn,cx:Road
VehicleOntology,cx:Vehicle,,,cx:hasBillOfMaterial,cx:VehicleBillOfMaterial
VehicleOntology,cx:Vehicle,,,cx:hasBodyStyle,cx:BodyStyle
VehicleOntology,cx:Vehicle,,,cx:hasError,cx:VehicleError
VehicleOntology,cx:Vehicle,,,cx:hasEuroCarSegment,cx:EuroCarSegment
VehicleOntology,cx:Vehicle,,,cx:hasInterface,cx:DataLinkConnector
VehicleOntology,cx:Vehicle,,,cx:hasInterface,cx:Telematics
VehicleOntology,cx:Vehicle,,,cx:hasLoadSpectrum,cx:LoadSpectrum
VehicleOntology,cx:Vehicle,,,cx:hasTransmissionType,cx:TransmissionType
VehicleOntology,cx:Vehicle,,,cx:hasVehicleBrand,cx:VehicleBrand
VehicleOntology,cx:Vehicle,,,cx:hasVehicleCargo,cx:VehicleCargoInformation
VehicleOntology,cx:Vehicle,,,cx:hasVehicleDimensions,cx:VehicleDimensionInformation
VehicleOntology,cx:Vehicle,,,cx:hasVehicleManufacturer,cx:VehicleManufacturer
VehicleOntology,cx:Vehicle,,,cx:hasVehicleModel,cx:VehicleModel
VehicleOntology,cx:Vehicle,,,cx:hasWorldManufacturerIdentifier,cx:WorldManufacturerIdentifier
VehicleOntology,cx:Vehicle,,,cx:isMadeBy,cx:VehicleManufacturer
VehicleOntology,cx:Vehicle,,,cx:isSoldAt,cx:VehicleDealer
VehicleOntology,cx:Vehicle,,,cx:isVariantOf,cx:VehicleModel
VehicleOntology,cx:Vehicle,,,cx:transports,cx:Passenger
VehicleOntology,cx:Vehicle,,,cx:uses,cx:Telematics
VehicleOntology,cx:Vehicle,,,cx:uses,cx:OnBoardDiagnostics2
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:batteryCapacity,xsd:integer,,
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:batteryType,xsd:string,,
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:batteryWeight,xsd:integer,,
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:chargingTime,xsd:double,,
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:electricConsumption,xsd:double,,
VehicleInformationOntology,cx:VehicleBatteryInformation,cx:electricPower,xsd:integer,,
BillOfMaterialOntology,cx:VehicleBillOfMaterial,,,cx:hasOrder,cx:Order
VehicleInformationOntology,cx:VehicleBodyInformation,cx:bodyStyle,xsd:string,,
VehicleInformationOntology,cx:VehicleBodyInformation,cx:euroCarSegment,xsd:string,,
VehicleInformationOntology,cx:VehicleBodyInformation,cx:numberOfDoors,xsd:integer,,
VehicleInformationOntology,cx:VehicleBodyInformation,cx:vehicleDragCoefficient,xsd:double,,
VehicleInformationOntology,cx:VehicleBodyInformation,cx:vehicleExteriorColor,xsd:string,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:cargoVolume,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:grossVehicleMass,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:maxAxleLoad,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:maxPayload,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:maxTowingCapacity,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:passengerVolume,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:tongueWeight,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:trailerWeight,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:trunkVolume,xsd:double,,
VehicleInformationOntology,cx:VehicleCargoInformation,cx:weightTotal,xsd:double,,
VehicleInformationOntology,cx:VehicleChassisInformation,cx:numberOfAxles,xsd:integer,,
VehicleInformationOntology,cx:VehicleChassisInformation,cx:numberOfDriveAxles,xsd:integer,,
VehicleInformationOntology,cx:VehicleCommunicationInformation,cx:hasModem,xsd:boolean,,
VehicleComponentOntology,cx:VehicleComponent,,,cx:hasError,cx:VehicleError
VehicleComponentOntology,cx:VehicleComponent,,,cx:hasLoadSpectrum,cx:LoadSpectrum
VehicleInformationOntology,cx:VehicleCurrentState,cx:vehicleCurrentAge,xsd:integer,,
VehicleInformationOntology,cx:VehicleCurrentState,cx:vehicleCurrentLocation,xsd:string,,
VehicleInformationOntology,cx:VehicleCurrentState,cx:vehicleCurrentMileage,xsd:integer,,
VehicleInformationOntology,cx:VehicleCurrentState,cx:vehicleCurrentStateDateTime,xsd:dateTime,,
VehicleInformationOntology,cx:VehicleCurrentState,cx:vehicleOperatingHours,xsd:integer,,
VehicleInformationOntology,cx:VehicleCurrentState,,,cx:hasLoadSpectrum,cx:LoadSpectrum
VehicleInformationOntology,cx:VehicleDealer,,,cx:sells,cx:Vehicle
DiagnosisOntology,cx:VehicleDiagnosis,cx:testingTechnician,xsd:string,,
DiagnosisOntology,cx:VehicleDiagnosis,cx:vehicleDiagnosisDate,xsd:date,,
DiagnosisOntology,cx:VehicleDiagnosis,cx:vehicleDiagnosisLocation,xsd:string,,
DiagnosisOntology,cx:VehicleDiagnosis,,,cx:diagnoses,cx:Vehicle
DiagnosisOntology,cx:VehicleDiagnosis,,,cx:hasDiagnosticTroubleCode,cx:DiagnosticTroubleCode
DiagnosisOntology,cx:VehicleDiagnosticDevice,,,cx:connectsTo,cx:OnBoardDiagnostics2
DiagnosisOntology,cx:VehicleDiagnosticSystem,,,cx:connectsTo,cx:OnBoardDiagnostics2
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:frontBrakeDiscDiameter,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleCurbWeight,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleDryWeight,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleGroundClearance,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleHeight,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleLength,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleTurningRadius,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleWeight,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleWheelbase,xsd:double,,
VehicleInformationOntology,cx:VehicleDimensionInformation,cx:vehicleWidth,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:bore,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:camshaftValvetrainConfiguration,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineAlignment,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineAspiration,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineCompressionRatio,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineDisplacement,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineFamily,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineForm,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineFuelInjection,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineGeneration,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineManufacturer,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineMaxPower,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineMaxTorque,xsd:double,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineName,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:enginePerformanceClass,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:enginePosition,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineSeries,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineTypeCode,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:engineVersion,xsd:string,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:numberOfCylinders,xsd:integer,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:numberOfValves,xsd:integer,,
VehicleInformationOntology,cx:VehicleEngineInformation,cx:stroke,xsd:double,,
ErrorOntology,cx:VehicleError,cx:errorMileage,xsd:integer,,
ErrorOntology,cx:VehicleError,,,cx:isInvolvedIn,cx:VehicleComponent
ErrorOntology,cx:VehicleError,,,cx:isInvolvedIn,cx:Part
ErrorOntology,cx:VehicleError,,,cx:isInvolvedIn,cx:Vehicle
ErrorOntology,cx:VehicleError,,,cx:isInvolvedIn,cx:DiagnosticTroubleCode
VehicleInformationOntology,cx:VehicleFuelInformation,cx:adblueTankCapacity,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:co2Emissions,xsd:integer,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:co2EmissionsWltp,xsd:integer,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:emissionClass,xsd:string,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:euEnergyLabel,xsd:string,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelConsumptionCity,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelConsumptionCombined,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelConsumptionHighway,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelEfficiency,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelTankCapacity,xsd:double,,
VehicleInformationOntology,cx:VehicleFuelInformation,cx:fuelType,xsd:string,,
PrognosisOntology,cx:VehicleHealthCondition,cx:vehicleStateOfHealth,xsd:double,,
VehicleInformationOntology,cx:VehicleInfotainmentInformation,cx:hasNavigation,xsd:boolean,,
VehicleInformationOntology,cx:VehicleInfotainmentInformation,cx:hasRadio,xsd:boolean,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:airConditioningType,xsd:string,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:numberOfPassengers,xsd:integer,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:numberOfSeatRows,xsd:integer,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:numberOfSeats,xsd:integer,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:numberOfStandingPlaces,xsd:integer,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:vehicleInteriorColor,xsd:string,,
VehicleInformationOntology,cx:VehicleInteriorInformation,cx:vehicleInteriorType,xsd:string,,
VehicleLifecycleOntology,cx:VehicleLifecycleStage,,,cx:isPartOf,cx:VehicleLifecycle
VehicleInformationOntology,cx:VehicleLifetimeInformation,cx:expectedLifetime,xsd:integer,,
VehicleInformationOntology,cx:VehicleLifetimeInformation,cx:expectedLifetimeMileage,xsd:integer,,
VehicleInformationOntology,cx:VehicleLightingInformation,cx:hasAutomaticHeadLights,xsd:boolean,,
VehicleInformationOntology,cx:VehicleLightingInformation,cx:hasFogLights,xsd:boolean,,
VehicleInformationOntology,cx:VehicleModel,cx:previousVehicleModel,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleBrand,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleDevelopmentSeries,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModel,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelArchitecture,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelEndOfProduction,xsd:date,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelGeneration,xsd:integer,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelSeries,xsd:string,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelStartOfProduction,xsd:date,,
VehicleInformationOntology,cx:VehicleModel,cx:vehicleModelVariant,xsd:string,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:electricRange,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:electricRangeWltp,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:roadNoise,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:stationaryNoise,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:vehicleAcceleration,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:vehicleBreaking,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:vehicleMaxSpeed,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:vehicleRange,xsd:integer,,
VehicleInformationOntology,cx:VehiclePerformanceInformation,cx:vehicleRangeWltp,xsd:integer,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:clutchType,xsd:string,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:driveWheelType,xsd:string,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:numberOfForwardGears,xsd:integer,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:powertrainLayout,xsd:string,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:steeringType,xsd:string,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:steeringWheelPosition,xsd:string,,
VehicleInformationOntology,cx:VehiclePowertrainInformation,cx:vehicleTransmission,xsd:string,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:deliveryPrice,xsd:integer,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:listPrice,xsd:integer,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:purchasePrice,xsd:integer,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleAssemblyCountry,xsd:string,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleAssemblyPlant,xsd:string,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleCountryOption,xsd:string,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleDeliveryCountry,xsd:string,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleDeliveryDate,xsd:date,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleOrderDate,xsd:date,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleProductionDate,xsd:date,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehicleProductionYear,xsd:integer,,
VehicleInformationOntology,cx:VehicleProductionInformation,cx:vehiclePurchaseDate,xsd:date,,
PrognosisOntology,cx:VehiclePrognosis,cx:vehiclePrognosisCreator,xsd:string,,
PrognosisOntology,cx:VehiclePrognosis,cx:vehiclePrognosisDate,xsd:date,,
PrognosisOntology,cx:VehiclePrognosis,cx:vehiclePrognosisId,xsd:string,,
PrognosisOntology,cx:VehiclePrognosis,,,cx:considers,cx:VehicleComponent
PrognosisOntology,cx:VehiclePrognosis,,,cx:considers,cx:VehicleSystem
PrognosisOntology,cx:VehiclePrognosis,,,cx:considers,cx:Vehicle
PrognosisOntology,cx:VehiclePrognosis,,,cx:determines,cx:EngineHealthCondition
PrognosisOntology,cx:VehiclePrognosis,,,cx:determines,cx:BatteryHealthCondition
PrognosisOntology,cx:VehiclePrognosis,,,cx:determines,cx:VehicleHealthCondition
PrognosisOntology,cx:VehiclePrognosis,,,cx:predicts,cx:RemainingUsefulLifetime
PrognosisOntology,cx:VehiclePrognosis,,,cx:predicts,cx:VehicleError
PrognosisOntology,cx:VehiclePrognosis,,,cx:predicts,cx:Failure
PrognosisOntology,cx:VehiclePrognosis,,,cx:predicts,cx:Breakdown
PrognosisOntology,cx:VehiclePrognosis,,,cx:recommends,cx:ConditionBasedMaintenance
PrognosisOntology,cx:VehiclePrognosis,,,cx:recommends,cx:PredictiveMaintenance
PrognosisOntology,cx:VehiclePrognosis,,,cx:uses,cx:VehicleDiagnosis
PrognosisOntology,cx:VehiclePrognosis,,,cx:uses,cx:PredictiveModel
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:manufacturerKeyNumber,xsd:string,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleRegistrationAuthority,xsd:string,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleRegistrationDate,xsd:date,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleRegistrationLocation,xsd:string,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleRegistrationOwner,xsd:string,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleRegistrationPlate,xsd:string,,
VehicleInformationOntology,cx:VehicleRegistrationInformation,cx:vehicleTypeCodeNumber,xsd:string,,
VehicleInformationOntology,cx:VehicleSafetyInformation,cx:numberOfAirbags,xsd:integer,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:assistanceSystem,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:frontSpringType,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:frontSuspension,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:rearSpringType,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:rearSuspension,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:rim,xsd:string,,
VehicleInformationOntology,cx:VehicleSuspensionInformation,cx:tire,xsd:string,,
VehicleUsageOntology,cx:VehicleUsage,cx:fuelConsumption,xsd:double,,
VehicleUsageOntology,cx:VehicleUsage,cx:gearSwitching,xsd:string,,
VehicleUsageOntology,cx:VehicleUsage,cx:maxAcceleration,xsd:integer,,
VehicleUsageOntology,cx:VehicleUsage,cx:maxDeceleration,xsd:integer,,
VehicleUsageOntology,cx:VehicleUsage,cx:maxRotationalSpeed,xsd:integer,,
VehicleUsageOntology,cx:VehicleUsage,cx:maxSpeed,xsd:integer,,
VehicleUsageOntology,cx:VehicleUsage,cx:mileage,xsd:integer,,
VehicleUsageOntology,cx:VehicleUsage,cx:mileageDate,xsd:date,,
VehicleInformationOntology,cx:VehicleWarrantyInformation,cx:warrantyMaxDuration,xsd:integer,,
VehicleInformationOntology,cx:VehicleWarrantyInformation,cx:warrantyMaxMileage,xsd:integer,,
CommonOntology,cx:Wholesaler,,,cx:sells,cx:Product
VehicleInformationOntology,cx:WorldManufacturerIdentifier,cx:worldManufacturerCountry,xsd:string,,
VehicleInformationOntology,cx:WorldManufacturerIdentifier,cx:worldManufacturerId,xsd:string,,
VehicleInformationOntology,cx:WorldManufacturerIdentifier,cx:worldManufacturerName,xsd:string,,
VehicleInformationOntology,cx:WorldManufacturerIdentifier,cx:worldManufacturerRegion,xsd:string,,
VehicleInformationOntology,cx:WorldManufacturerIdentifier,,,cx:sameAs,cx:BusinessPartner
